iter	Passed	Remaining
843	22127	4089
844	22153	4063
845	22178	4037
846	22205	4011
847	22227	3984
848	22245	3956
849	22268	3929
850	22292	3903
851	22317	3876
852	22342	3850
853	22369	3824
854	22393	3797
855	22420	3771
856	22445	3745
857	22471	3718
858	22494	3692
859	22522	3666
860	22550	3640
861	22572	3613
862	22595	3587
863	22620	3560
864	22648	3534
865	22676	3508
866	22706	3483
867	22732	3457
868	22757	3430
869	22783	3404
870	22806	3377
871	22829	3351
872	22854	3324
873	22878	3298
874	22901	3271
875	22924	3244
876	22952	3219
877	22973	3192
878	22999	3165
879	23022	3139
880	23046	3113
881	23070	3086
882	23098	3060
883	23119	3033
884	23145	3007
885	23170	2981
886	23201	2955
887	23228	2929
888	23252	2903
889	23279	2877
890	23301	2850
891	23324	2824
892	23349	2797
893	23379	2772
894	23402	2745
895	23427	2719
896	23451	2692
897	23476	2666
898	23500	2640
899	23526	2614
900	23550	2587
901	23576	2561
902	23601	2535
903	23623	2508
904	23648	2482
905	23668	2455
906	23698	2429
907	23723	2403
908	23747	2377
909	23770	2350
910	23798	2324
911	23823	2298
912	23846	2272
913	23867	2245
914	23892	2219
915	23916	2193
916	23948	2167
917	23975	2141
918	23995	2114
919	24024	2089
920	24046	2062
921	24070	2036
922	24090	2009
923	24112	1983
924	24137	1957
925	24158	1930
926	24181	1904
927	24206	1878
928	24229	1851
929	24256	1825
930	24276	1799
931	24297	1772
932	24321	1746
933	24343	1720
934	24368	1694
935	24394	1667
936	24419	1641
937	24443	1615
938	24466	1589
939	24490	1563
940	24512	1536
941	24537	1510
942	24560	1484
943	24587	1458
944	24610	1432
945	24637	1406
946	24666	1380
947	24690	1354
948	24713	1328
949	24737	1301
950	24760	1275
951	24787	1249
952	24808	1223
953	24835	1197
954	24859	1171
955	24885	1145
956	24906	1119
957	24936	1093
958	24963	1067
959	24988	1041
960	25012	1015
961	25034	988
962	25061	962
963	25086	936
964	25114	910
965	25139	884
966	25167	858
967	25189	832
968	25215	806
969	25237	780
970	25261	754
971	25286	728
972	25313	702
973	25339	676
974	25366	650
975	25388	624
976	25415	598
977	25444	572
978	25467	546
979	25499	520
980	25521	494
981	25547	468
982	25570	442
983	25596	416
984	25622	390
985	25648	364
986	25670	338
987	25696	312
988	25720	286
989	25745	260
990	25767	234
991	25795	208
992	25818	182
993	25845	156
994	25868	129
995	25895	103
996	25916	77
997	25944	51
998	25966	25
999	25992	0
